2024 RANK,2023 RANK,COMPANY,CITY, STATE, USDOT, EXECUTIVE,TITLE,WEBSITE,PRIMARY OPERATION,CARRIERS,2023 REVENUE, LEASED TRUCKS, OWNED TRUCKS,TOTAL TRUCKS, LEASED TRACTORS, OWNED TRACTORS,TOTAL TRACTORS, LEASED TRAILERS, OWNED TRAILERS,TOTAL TRAILERS, COMPANY DRIVERS, INDEPENDENT CONTRACTORS,TOTAL DRIVERS
14,13,"Werner Enterprises, Inc.",Omaha,NE,53467,Derek J. Leathers,"Chairman, President & CEO",www.werner.com,General Freight,"Werner Enterprises, Inc.","3,283,499,000",86,58,144,280,"7,180","7,460",0,"30,315","30,315","8,510",281,"8,791"
15,17,ArcBest,Fort Smith,AR,,Judy R. McReynolds,"Chairman, President & CEO",arcb.com,General Freight,ABF Freight/ArcBest/Panther Logistics,"4,427,443,000",223,87,310,310,"4,340","4,650",0,"22,924","22,924",,,"8,143"
16,16,"Prime, Inc.",Springfield,MO,3706,Robert E. Low,President,www.primeinc.com,Refrigerated,"Prime, Inc.","2,520,027,000",0,0,0,0,"7,409","7,409",0,"15,457","15,457",789,"6,620","7,409"
17,18,Kenan Advantage Group,North Canton,OH,,Charlie DeLacey,CEO,www.thekag.com,Tank/Bulk Commodities,Kenan/KAG Energy/KAG Energy West/KAG Specialty Products/KAG Food Products/KAG Merchant Gas/KAG Canada/Ag Trucking/Fort Transfer/K-Limited Carrier/Idaho Milk Transport,"2,406,635,000",0,0,0,"1,800","5,800","7,600",460,"12,175","12,635","5,800","1,536","7,336"
18,15,Evans Network of Companies,Schuylkill Haven,PA,,"Matthew ""Bo"" Bates",President & CEO,www.evansdelivery.com,Intermodal,Evans Delivery/West Motor Freight/Hale Intermodal/All Points Transport/Century Express/DM/Trans Land Transportation/Phoenix Transit & Logistics/Commercial Transportation LLC & Drayage Express of DE LLC/Madaris Transportation/Catfish Container/Pierside/National Drayage Services,"2,040,000,000",0,0,0,"7,500",0,"7,500","1,000",500,"1,500",0,"7,500","7,500"
19,19,Saia Inc.,Johns Creek,GA,29124,Rick O'Dell,CEO,www.saia.com,General Freight,,"2,881,433,000",0,91,91,0,"6,086","6,086",,"21,360","21,360",,,"6,951"
20,20,NFI,Camden,NJ,1486168,Sidney Brown,CEO,www.nfiindustries.com,Dedicated Contract Carriage,"National Freight, Inc. /NFI Interactive Logistics /California Cartage Co./G&P Transportation/MCO Transport, Inc.","3,500,000,000",0,2,2,"1,300","3,550","4,850","1,200","12,800","14,000","3,860","1,060","4,920"
21,21,"CRST International, Inc.",Cedar Rapids,IA,,Hugh Ekberg,President and CEO,www.crst.com,General Freight,CRST Expedited/CRST Malone/CRST Dedicated/Specialized Transportation Inc./Gardner Trucking/BESL Transfer/Pegasus Transportation,,88,0,88,"1,451","3,565","5,016",0,"14,279","14,279",,,"5,918"
22,25,Crete Carrier Corporation,Lincoln,NE,,Tonn Ostergard,President & CEO,www.cretecarrier.com,General Freight,"Crete Carrier Corporation, Hunt Transportation, Shaffer Trucking",,0,0,0,292,"5,246","5,538",0,"13,170","13,170",,,"5,254"
23,29,PS Logistics,Birmingham,AL,1243338,Scott Smith,Co-founder & CEO,www.pslogistics.com,Flatbed/Specialized/Heavy Haul,"P&S Transportation, LLC/Blair Logistics, LLC/Shelton Trucking, LLC/MTB Transport, LLC/Purdy Brothers Trucking, LLC/Loudon County Trucking, LLC/TA Services, LLC/DT Freight, LLC/HS Express, LLC/SEL Transport, LLC/Action Dedicated LLC/DMT Trucking, LLC/Diamond State Trucking & Logistics, LLC/Buddy Moore Trucking","1,700,000,000",0,0,0,"2,525","2,400","4,925",300,"7,400","7,700","2,250","2,350","4,600"
24,22,Averitt Express,Cookeville,TN,36684,Gary D. Sasser,Chairman & CEO,www.averitt.com,General Freight,"Averitt Express, Inc.","1,688,000,000",0,45,45,0,"4,545","4,545",0,"14,879","14,879","4,923",0,"4,923"
25,28,"Heartland Express, Inc.",North Liberty,IA,,Michael Gerdin,"Chairman, President & CEO",www.heartlandexpress.com,General Freight,Heartland Express/Millis Transfer/Smith Transport/CFI,"1,207,458,000",0,0,0,500,"4,500","5,000",150,"14,850","15,000","5,100",200,"5,300"
26,24,"Universal Logistics Holdings, Inc.",Warren,MI,,Tim Phillips,CEO,www.goutsi.com,General Freight,,"1,662,139,000",15,0,15,"4,896",200,"5,096",0,"7,617","7,617",,,"4,217"
27,31,Ruan,Des Moines,IA,,Ben McLean,CEO,www.ruan.com,Dedicated Contract Carriage,Ruan Transport Corp./Ruan Logistics Corporation,,9,58,67,15,"3,087","3,102","1,408","6,040","7,448",,,"4,661"
28,36,UniGroup,Fenton,MO,,Jason Mills,President & CEO,www.unigroup.com,Household Goods,United Van Lines/Mayflower Transit/UniGroup Logistics,"1,282,000,000","1,695",0,"1,695","2,480",0,"2,480","3,845",110,"3,955",0,"4,930","4,930"
29,32,Southeastern Freight Lines,Lexington,SC,63419,Tobin Cassels,President,www.sefl.com,General Freight,Southeastern Freight Lines,"1,686,340,351",0,418,418,0,"2,924","2,924",0,"8,426","8,426","4,221",0,"4,221"
30,33,"Central Transport International, Inc.",Warren,MI,661173,Manuel Moroun,Chairman & CEO,www.centraltransport.com,General Freight,,,50,0,50,"4,010",0,"4,010",,"11,877","11,877",,,"4,035"
31,34,Forward Air Corp.,Greeneville,TN,,Tom Schmitt,Chairman & CEO,www.forwardair.com,General Freight,,,743,201,944,"2,391",775,"3,166",385,"7,482","7,867",,,"4,269"
