2024 RANK,2023 RANK,COMPANY,CITY, STATE, USDOT, EXECUTIVE,TITLE,WEBSITE,PRIMARY OPERATION,CARRIERS,2023 REVENUE, LEASED TRUCKS, OWNED TRUCKS,TOTAL TRUCKS, LEASED TRACTORS, OWNED TRACTORS,TOTAL TRACTORS, LEASED TRAILERS, OWNED TRAILERS,TOTAL TRAILERS, COMPANY DRIVERS, INDEPENDENT CONTRACTORS,TOTAL DRIVERS
102,180,"United Petroleum Transports, Inc.",Oklahoma City,OK,185040,Greg Price,President,www.otl-upt.com,Tank/Bulk Commodities,,,0,0,0,407,440,857,19,"1,016","1,035",,,"1,057"
103,27,Day & Ross,Hartland,NB,19176,Bill Doherty,CEO,www.dayross.com,General Freight,Day & Ross,,6,0,6,107,435,542,0,"7,884","7,884",,,670
104,109,Premier Transportation,Forest Park,GA,282577,Michael Medici,CEO,www.premiertransportation.com,General Freight,,,0,8,8,196,682,878,,"4,332","4,332",,,886
105,119,Cassens Transport Co.,Edwardsville,IL,124358,Lisa Shashek,President,www.cassens.com,Motor Vehicles,Cassens Transport Co.,"255,185,630",0,0,0,0,924,924,0,924,924,757,0,757
106,111,Roadrunner Transportation Services,Downers Grove,IL,242009,Frank Hurst,President,www.rrts.com,General Freight,,,502,0,502,311,41,352,,"2,042","2,042",,,885
107,106,"Groendyke Transport, Inc.",Enid,OK,4247,Greg Hodgen,President,www.groendyke.com,Tank/Bulk Commodities,"Groendyke Transport, Inc./McKenzie Tank Lines",,0,0,0,874,0,874,,0,0,,,842
108,102,Paper Transport LLC,De Pere,WI,380482,Ben Schill,CEO,www.papertransport.com,General Freight,Paper Transport,"264,952,000",0,4,4,15,785,800,0,"3,250","3,250",785,15,800
109,110,Leonard's Express,Farmington,NY,920222,Ken Johnson,CEO,www.leonardsexpress.com,General Freight,,,0,0,0,167,573,740,,"1,330","1,330",,,723
110,124,"R.E. Garrison Trucking, Inc.",Cullman,AL,95610,Wyles Griffith,President,www.regarrison.com,Refrigerated,,,0,1,1,460,360,820,,"1,425","1,425",,,881
111,117,Beelman Truck Co.,East Saint Louis,IL,124260,Frank J. Beelman III,President,www.beelmantruck.com,Tank/Bulk Commodities,Sent email to Scott W,,0,0,0,93,705,798,,"1,133","1,133",,,932
112,112,"Dupre' Logistics, LLC",Lafayette,LA,214438,Mike Weindel,President & CEO,www.duprelogistics.com,Tank/Bulk Commodities,"Dupre' Logistics, LLC","323,556,000",0,0,0,0,600,600,0,"2,150","2,150",732,18,750
113,118,"Navajo Express, Inc.",Denver,CO,202381,"Don Digby, Jr.",CEO,www.navajoexpress.com,Refrigerated,"Navajo Express, Inc.","241,359,000",0,0,0,50,750,800,0,"2,000","2,000",650,50,700
114,104,"TransAm Trucking, Inc.",Olathe,KS,315503,Murray Droescher,President,www.transamtruck.com,Refrigerated,,"180,000,000",0,0,0,0,825,825,0,"1,800","1,800",825,0,825
115,130,"Venture Express, Inc.",La Vergne,TN,192068,Jimmy E Allen,President,www.ventureexpress.com,General Freight,,,0,2,2,402,300,702,,"3,432","3,432",,,956
116,125,Jordan Carriers,Natchez,MS,494832,J. Ryan Wingfield,CFO,www.jordancarriers.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,390,434,824,0,"1,095","1,095",,,714
117,95,"Artur Express, Inc.",Hazelwood,MO,767997,Artur Wagrodzki,President,www.arturexpress.com,General Freight,TTS Logistics LLC/Artur Express Freight Services/TAB,,0,0,0,638,5,643,0,0,0,,,658
118,120,"Ozark Motor Lines, Inc.",Memphis,TN,96606,Steve Higginbotham,President,www.ozark.com,General Freight,,,0,0,0,39,727,766,,"2,192","2,192",,,725
119,129,"Venezia, Inc.",Royersford,PA,,Andrew J. Venezia,President & CEO,www.veneziatransport.com,Tank/Bulk Commodities,Venezia Hauling/Venezia Bulk Transport/Venezia Liquid Tank Lines/Venezia LPG Services/Venezia Transport Service Inc,,0,10,10,62,726,788,0,"1,502","1,502",,,661
120,126,"K&B Transportation, Inc.",S. Sioux City,IA,320526,Kory Ackerman,Vice President,www.kbtransportation.com,Refrigerated,"K&B Transportation, Inc.","225,000,000",0,0,0,0,700,700,0,"1,350","1,350",695,0,695
121,145,"Freymiller, Inc.",Oklahoma City,OK,963300,David Freymiller,Chief Executive Officer,www.freymiller.com,Refrigerated,,,0,0,0,726,0,726,,"1,212","1,212",,,753
122,133,"Williams Brothers Trucking, Inc.",Hazlehurst,GA,156698,Roger L. Williams,President,www.wbtus.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,0,855,855,,"1,683","1,683",,,603
123,131,Wayne Transports,Rosemount,MN,166179,Curtis M. Siemers,President,www.waynetransports.com,Tank/Bulk Commodities,,,0,0,0,198,556,754,,950,950,,,686
124,122,"J&R Schugel Trucking, Inc.",New Ulm,MN,116455,Rick Schugel,President,www.jrschugel.com,Refrigerated,,,0,0,0,5,733,738,,"1,779","1,779",,,683
125,128,"Halvor Lines, Inc.",Superior,WI,75250,Jon W. Vinje,CEO,www.halvorlines.com,General Freight,,"177,700,000",0,0,0,122,622,744,13,"1,842","1,855",635,89,724
126,136,Blackhawk Transport,Beloit,WI,391460,Mike Holloway,President & CEO,www.blackhawktransport.com,Dedicated Contract Carriage,Blackhawk Transport Inc./Blackhawk Logistics LLC (dba Southwest Express),"177,638,548",0,23,23,28,678,706,2,"1,347","1,349",707,23,730
127,127,"JBS Carriers, Inc.",Greeley,CO,184843,Rodrigo Horvath,President,www.jbscarriers.com,Refrigerated,"JBS Carriers, Inc.","192,717,387",0,0,0,674,55,729,"1,027",859,"1,886",631,0,631
128,135,"Brown Integrated Logistics, Inc.",Lithonia,GA,186265,Scott Shephard,President/CEO,www.brownintegratedlogistics.com,General Freight,Brown Trucking Company,"217,595,066",0,0,0,284,380,664,"1,685","1,716","3,401",564,61,625
129,134,American Bulk Commodities,Boardman,OH,255968,Mark A. Carrocce,President,www.rjtrucking.com,Tank/Bulk Commodities,R&J Trucking/John Brown Trucking/Southern Haulers/DSI Bulk Transport,"181,882,273",0,50,50,0,700,700,0,"1,250","1,250",550,125,675
130,139,"Spee Dee Delivery Service, Inc.",Saint Cloud,MN,247570,Donald Weeres,President,www.speedeedelivery.com,Packages,,"182,000,000",0,698,698,0,126,126,0,293,293,"1,127",0,"1,127"
131,137,"Fraley and Schilling, Inc.",Rushville,IN,125465,Ryan Schilling,Executive Vice President,www.fraleyandschilling.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,0,759,759,,"1,046","1,046",,,659
132,138,Ward Transport & Logistics,Altoona,PA,,Bill T. Ward,President,www.wardtlc.com,General Freight,Ward Trucking LLC/Ward Truckload Express LLC/Ward Logistics LLC,"235,731,977",36,118,154,110,310,420,0,"1,050","1,050",750,25,775
133,69,C.A.T. Inc.,Coteau Du Lac,QC,247969,Daniel Goyette,President,www.cat.ca,General Freight,,,0,0,0,522,202,724,0,"2,142","1,349",,,659
134,143,"Bay & Bay Transfer Co., Inc.",Eagan,MN,125630,Sam Anderson,President,www.bayandbay.com,Refrigerated,"Bay & Bay Transfer Co., Inc.","324,740,106",0,0,0,274,289,563,235,793,"1,028",323,189,512
135,116,The Suddath Companies,Jacksonville,FL,,Michael J. Brannigan,President & CEO,www.suddath.com,Household Goods,The Suddath Companies,,145,362,507,197,29,226,21,480,501,,,828
136,123,"Oakley Transport, Inc.",Lake Wales,FL,281321,Thomas E. Oakley,President,www.oakleytransport.com,Tank/Bulk Commodities,,,0,0,0,0,700,700,,"1,046","1,046",,,619
137,144,"Martin Transport, Inc.",Kilgore,TX,33094,Johnnie Murry,Sr. Vice President,www.martintransport.com,Tank/Bulk Commodities,,"183,793,529",0,7,7,59,641,700,10,"1,320","1,330",418,102,520
138,142,Eagle Transport Corp.,Rocky Mount,NC,90792,Lance R. Collette,President & COO,www.eagletransportcorp.com,Tank/Bulk Commodities,Eagle Transport Corp.,"162,000,000",0,0,0,0,520,520,0,560,560,765,0,765
139,147,Western Dairy Transport LLC,Cabool,MO,1490474,David Shelton,CEO,www.wdtmilk.com,Tank/Bulk Commodities,,,0,0,0,568,0,568,,"1,268","1,268",,,704
140,121,National Carriers,Irving,TX,69310,Jim Franck,President,www.nationalcarriers.com,Refrigerated,"National Carriers, Inc.",,0,0,0,627,0,627,,"1,344","1,344",,,607
141,148,"Transportation Services, Inc.",Romulus,MI,198,Michael D. Zavislak,CEO,www.tsitrucks.com,General Freight,TSI/TSI Logistica Fronteriza SA de CV,"141,100,000",0,0,0,140,490,630,0,"1,925","1,925",540,110,650
142,115,"National Retail Systems, Inc.",North Bergen,NJ,,Raymond Wisniewski,President,www.nrsonline.com,Dedicated Contract Carriage,,,17,13,30,431,236,667,0,"4,263","4,263",,,505
143,153,McClymonds Supply & Transit Co. Inc,Portersville,PA,269478,Mark McClymonds,President,www.mcclymonds.com,Tank/Bulk Commodities,McClymonds Supply and Transit,"150,000,000",85,265,350,100,255,355,100,400,500,475,160,635
144,149,"Titan Transfer, Inc.",Shelbyville,TN,845505,Phillip Edwards,President,www.titantransferinc.com,General Freight,,"132,301,939",0,12,12,50,565,615,0,"2,050","2,050",525,90,615
145,152,"Benore Logistic Systems, Inc.",Erie,MI,1238256,Jeffery M. Benore,CEO & President,www.benorelogistics.com,General Freight,,,0,0,0,24,473,497,,"1,552","1,552",,,830
146,156,"Nussbaum Transportation Services, Inc",Hudson,IL,71317,Brent Nussbaum,CEO,www.nussbaum.com,General Freight,,"148,588,024",0,0,0,0,565,565,0,"1,553","1,553",540,0,540
147,175,GP Transco,Joliet,IL,1527352,Dominic Zastarskis,CEO,www.gptransco.com,General Freight,,"144,762,258",0,0,0,0,550,550,0,"1,100","1,100",510,40,550
148,189,"TFA Logistics, LLC",El Paso,TX,255631,Zachary Chilson,President,www.teamtfa.com,General Freight,"TFA Logistics, LLC","110,000,000",1,0,1,85,496,581,105,"1,591","1,696",570,115,685
149,151,Hilco Transport,Greensboro,NC,328463,Jon Long,President,www.hilcotransport.com,Tank/Bulk Commodities,,,0,89,89,189,387,576,,424,424,,,445
150,158,"Pride Transport, Inc.",Salt Lake City,UT,236361,"Jeffrey England, Jr.",President,www.pridetransport.com,Refrigerated,"Pride Transport, Inc.","175,000,000",0,0,0,120,430,550,0,900,900,485,0,485
151,173,"Heyl Truck Lines, Inc.",Akron,IA,65762,Alan Heyl,CEO,www.heyl.net,Refrigerated,Heyl Truck Lines,"141,714,397",0,0,0,240,306,546,5,"1,303","1,308",489,39,528
152,163,"Penn Tank Lines, Inc.",Chester Springs,PA,264473,"Jack A. McSherry, Jr.",President,www.penntanklines.com,Tank/Bulk Commodities,,,0,0,0,400,178,578,,80,80,,,500
153,155,"McElroy Truck Lines, Inc.",Cuba,AL,271424,C. Jay McElroy,President,www.mcelroytrucklines.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,24,538,562,,"1,151","1,151",,,562
154,154,"West Side Transport, Inc.",Cedar Rapids,IA,165881,Donald Vogt,President & CEO,www.westsidetransport.com,General Freight,"West Side Transport, Inc.","145,434,000",0,0,0,5,520,525,14,"2,393","2,407",506,6,512
155,166,Danny Herman Trucking Inc.,Mountain City,TN,50467,Joe Herman,President,www.dannyherman.com,General Freight,Danny Herman Trucking,"138,428,843",0,0,0,143,336,479,0,"1,304","1,304",603,15,618
156,188,"Lavalle Transportation, Inc.",Potsdam,NY,575205,Randy Lavalley,President,www.lti.cc,General Freight,,"126,938,451",0,0,0,335,211,546,0,"1,411","1,411",226,325,551
157,164,"Cypress Truck Lines, Inc.",Jacksonville,FL,186106,"Dave Penland, Sr.",President,www.cypresstruck.com,Flatbed/Specialized/Heavy Haul,Cypress Truck Lines/Sunbelt Transport LLC,,0,0,0,0,600,600,0,"2,300","2,300",501,0,501
158,170,Grammer Logistics,Columbus,IN,184668,Scott Dobak,CEO,www.grammerlogistics.com,Tank/Bulk Commodities,,,0,0,0,337,207,544,,0,0,,,503
159,159,Load One Transportation & Logistics,Taylor,MI,1112473,John Elliott,CEO,www.load1.com,General Freight,Load One,"195,000,000",365,9,374,121,42,163,0,195,195,72,548,620
160,167,CalArk Inc.,Mabelvale,AR,546354,Michael Jernigan,President & CFO,www.calark.com,General Freight,CalArk International Inc.,"128,000,000",40,220,260,2,380,382,35,"1,350","1,385",470,115,585
161,165,Watsontown Trucking Company,Milton,PA,10715,Steve Patton,President,www.watsontowntrucking.com,General Freight,,"140,965,500",0,5,5,0,505,505,130,"1,540","1,670",495,15,510
162,132,Ascend Transportation,Jackson,TN,439352,John W. Ross,CEO,www.ascend.net,General Freight,,,0,0,0,466,76,542,,"2,424","2,424",,,482
163,177,"Cargo Transporters, Inc.",Claremont,NC,257768,Dennis Dellinger,President & CEO,www.cargotransporters.com,General Freight,"Cargo Transporters, Inc.",,0,0,0,0,502,502,,"1,788","1,788",,,530
164,160,"Wiley Sanders Truck Lines, Inc.",Troy,AL,122275,Tres Parker,President,www.wsanders.com,General Freight,,"116,506,111",0,0,0,307,286,593,0,"1,838","1,838",484,0,484
165,172,Schuster Company,Le Mars,IA,69852,Steve Schuster,President,www.schusterco.com,Refrigerated,,"143,400,000",0,0,0,80,410,490,0,"1,125","1,125",410,80,490
166,171,K.L. Breeden & Sons LLC,Terrell,TX,1836511,Chad Davis,Executive Vice President,www.klbsons.com,General Freight,,,0,0,0,517,0,517,,616,616,,,470
167,161,A.D. Transport Express Inc.,Canton,MI,192625,Gary A. Percy,President,www.adtransport.com,General Freight,AD Transport Express,"128,465,000",0,0,0,0,513,513,0,"1,722","1,722",495,3,498
168,191,"TLD Logistics Services, Inc.",Knoxville,TN,1820774,Jim Peters,President & COO,www.tldlogistics.com,Dedicated Contract Carriage,,,0,0,0,100,325,425,,802,802,,,825
169,169,"Big G Express, Inc.",Shelbyville,TN,580685,Jack Marsh,CEO,www.biggexpress.com,General Freight,,,0,0,0,513,14,527,,"1,704","1,704",,,428
170,185,Wilson Logistics,Springfield,MO,1009435,Darrel Wilson,President & CEO,www.wilsonlogistics.com,General Freight,Wilson Logistics/Market Transport,,0,0,0,0,454,454,,518,518,,,556
171,181,"Gypsum Express, Ltd.",Baldwinsville,NY,623098,John Wight,President,www.gypsumexpress.com,Flatbed/Specialized/Heavy Haul,"Gypsum Express, Ltd.","123,600,000",0,0,0,0,540,540,0,"1,390","1,390",429,0,429
172,182,"KKW Trucking, Inc.",Pomona,CA,151877,Steve Benninghoff,COO,www.kkwtrucks.com,General Freight,"KKW Trucking, Inc.",,0,0,0,23,480,503,,"1,613","1,613",,,431
173,184,Transystems LLC,Great Falls,MT,179858,Scott Lind,President,www.transystemsllc.com,Tank/Bulk Commodities,,,0,0,0,0,383,383,,726,726,,,861
174,190,Saddle Creek Transportation Inc,Lakeland,FL,1196553,John Erwin,Vice President,www.sclogistics.com,General Freight,,,0,0,0,265,162,427,,"2,143","2,143",,,568
175,193,Charger Logistics,Brampton,ON,2014604,Andy Khera,President,www.chargerlogistics.com,General Freight,,,0,0,0,186,241,427,,987,987,,,556
176,194,Ergon Trucking,Jackson,MS,137758,Russ Maroney,President,www.ergontrucking.com,Tank/Bulk Commodities,,,0,35,35,291,156,447,,0,0,,,437
177,192,"Slay Transportation Co., Inc.",Saint Louis,MO,77890,Gary E. Slay,President,www.slay.com,Tank/Bulk Commodities,,,0,0,0,326,168,494,,109,109,,,415
178,178,"NAPA Transportation, Inc.",Mechanicsburg,PA,446997,Ronald Accomando,CEO,www.napatran.com,General Freight,,"190,970,837",0,0,0,109,298,407,2,"1,623","1,625",246,104,350
179,168,"Midwest Transport, Inc.",Robinson,IL,1084722,Ken Hohlbaugh,President,www.mwtransport.com,General Freight,,,0,9,9,19,417,436,,548,548,,,464
180,183,"Admiral Merchants Motor Freight, Inc.",Minneapolis,MN,124813,Brian Short,President & CEO,www.ammf.com,Flatbed/Specialized/Heavy Haul,"Admiral Merchants Motor Freight, Inc.","110,900,000",0,0,0,450,0,450,575,0,575,0,450,450
181,266,Hurricane Express,Colcord,OK,496472,Kaedon Steinert,Founder & President,www.hurricanexpressinc.com,Refrigerated,,,0,0,0,0,450,450,,611,611,,,426
182,267,Cheema Freight Lines,Pacific,WA,1486505,Harman Cheema,President & CEO,www.cheemafreightlines.com,Dedicated Contract Carriage,,,0,0,0,0,449,449,,"1,800","1,800",,,500
183,201,"Beemac, Inc.",Ambridge,PA,388467,Loren Dworakowski,President & CEO,www.beemac.com,Flatbed/Specialized/Heavy Haul,,,10,0,10,358,92,450,,522,522,,,455
184,176,"Combined Transport, Inc.",Central Point,OR,194077,Michael S Card,President,www.combinedtransport.com,Flatbed/Specialized/Heavy Haul,"Combined Transport, Inc./Blackwell Consolidated",,0,0,0,45,440,495,0,853,853,,,407
185,186,Carroll Fulmer Logistics Corp.,Groveland,FL,1021374,Philip R. Fulmer,CEO,www.cfulmer.com,General Freight,Carroll Fulmer Logistics Corp.,"135,822,301",0,1,1,40,416,456,7,"1,793","1,800",306,40,346
186,157,"Bulkmatic, LLC",Griffith,IN,76065,Chris Kravas,President,www.bulkmatic.com,Tank/Bulk Commodities,Bulkmatic/Paris Transport,,0,0,0,445,0,445,,"1,503","1,503",,,415
187,150,Aman Truck Lines,Tracy,CA,930837,Jasdeep Sanghera,Founder & CEO,www.atl-trucking.com,Dedicated Contract Carriage,,,0,0,0,0,405,405,,681,681,,,527
188,187,"WEL Companies, Inc.",De Pere,WI,166046,Bruce Tielens,Chairman & CEO,www.welcompanies.com,Refrigerated,"WEL Companies, Inc.","141,338,917",0,0,0,195,199,394,11,622,633,179,195,374
189,198,B&W Cartage Company,Taylor,MI,128493,Stephen M. Klein,President,www.ilg.com,General Freight,,,0,0,0,421,0,421,,"1,271","1,271",,,421
190,200,"J&M Tank Lines, Inc.",Birmingham,AL,184405,"Harold Sumerford, Jr.",CEO,www.jmtank.com,Tank/Bulk Commodities,"J&M Tank Lines, Inc.",,0,0,0,438,0,438,,779,779,,,374
191,202,Andrews Logistics,Southlake,TX,736714,J. Darron Eschle,Chairman & CEO,www.andrewslogistics.com,Tank/Bulk Commodities,,,0,0,0,0,439,439,,"1,012","1,012",,,373
192,146,Titanium Trucking Services,BOLTON,ON,1392048,Ted Daniel,CEO,www.ttgi.com,General Freight,,,0,0,0,0,410,410,,"1,820","1,820",,,410
193,208,Fremont Contract Carriers,Fremont,NE,733,Tim McCormick,President & CEO,www.fcc-inc.com,General Freight,,,0,1,1,82,323,405,0,"1,303","1,303",321,82,403
194,206,Warren Transport,Waterloo,IA,1896,James Schommer,President,www.warrentransport.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,411,4,415,,"1,300","1,300",,,419
195,210,Indian River Transport Co.,Winter Haven,FL,123611,John Harned,Owner,www.indianrivertransport.com,Tank/Bulk Commodities,,,0,0,0,63,337,400,,845,845,,,418
196,209,Aim Integrated Logistics,Girard,OH,877115,Dave Gurska,COO,www.aimntls.com,Dedicated Contract Carriage,Aim Integrated Logistics Inc.,"105,337,400",24,0,24,360,0,360,520,0,520,415,0,415
197,204,JNJ Express,Memphis,TN,655796,"John Ennis, Jr.",Vice President,www.jnjexpress.com,General Freight,,,0,0,0,400,0,400,,"1,639","1,639",,,400
198,162,"Cliff Viessman, Inc.",Gary,SD,164259,Wayne Viessman,CEO,www.viessmantrucking.com,Tank/Bulk Commodities,Jacobson Transport/Johnsrud Transport,,0,0,0,28,342,370,,679,679,,,433
199,174,"Star Fleet Trucking, Inc.",Middlebury,IN,493424,Joel Pladson,President,www.starfleettrucking.com,Motor Vehicles,,,0,0,0,330,5,335,,18,18,,,451
200,179,White Arrow,Montebello,CA,577394,Chris Ceausu,CEO,www.whitearrow.com,General Freight,,,0,0,0,0,388,388,,548,548,,,378
201,225,"Online Transport, Inc.",Greenfield,IN,848251,Dan Cook,President,www.onlinetransport.com,General Freight,,,2,0,2,380,0,380,,"1,279","1,279",,,382
202,227,Taylor Truck Line Inc.,Northfield,MN,124500,Rob Taylor,President,www.taylortruckline.com,General Freight,,,0,0,0,0,402,402,0,"1,535","1,535",,,345
203,203,G&D Integrated,Morton,IL,291139,Jeff Cohen,COO,www.gdintegrated.com,General Freight,"G&D Integrated, Inc./G&D Integrated Transportation, Inc.",,1,0,1,4,399,403,,"2,639","2,639",,,325
204,219,Sutton Transport,Weston,WI,173800,Cliff Sutton,President,www.suttontrans.com,General Freight,,,57,0,57,299,0,299,,575,575,,,436
205,197,"PI&I Motor Express, Inc.",Sharon,PA,122443,Joseph J. Kerola,President,www.piimx.com,Flatbed/Specialized/Heavy Haul,"PI&I Motor Express, Inc.","87,000,000",0,0,0,405,0,405,720,0,720,0,375,375
206,211,KC Integrated Services,Carleton,MI,347778,Kenyon Calendar,CEO,www.kctrans.com,General Freight,,,0,0,0,354,0,354,,"1,048","1,048",,,413
207,205,Service Transport Company,Houston,TX,229662,Wade Harrison,President,www.svtn.com,Tank/Bulk Commodities,Service Transport Company/EH Transport/CTL Transportation,"98,769,558",0,0,0,91,300,391,40,650,690,244,91,335
208,268,Market Express,Portland,OR,50388905,Peter Scott,Chairman & CEO,www.marketexpress.com,Dedicated Contract Carriage,,,0,0,0,106,268,374,,730,730,,,397
209,216,Royal Express,Laredo,TX,838117,Gume Garza,CEO,www.royalexpressinc.com,General Freight,,,0,4,4,0,356,356,,"1,284","1,284",,,364
210,199,TransX Ltd,Winnipeg,MB,180162,Mike Jones,COO,www.transx.com,General Freight,,,0,0,0,380,0,380,,"1,444","1,444",,,314
211,223,Peninsula Truck Lines,Federal Way,WA,8329,Brent Vander Pol,President,www.peninsulatruck.com,General Freight,,,0,26,26,0,328,328,,"1,029","1,029",,,374
212,195,Sweet Express LLC,Grand Rapids,MI,1128178,Damir Vidinlic,President,www.sweetexpressllc.com,General Freight,Sweet Express/Omni Transportation,"81,971,163",0,0,0,77,332,409,0,957,957,255,77,332
213,215,N&M Transfer Co Inc,Neenah,WI,191755,Thomas Pawlacyk,President,www.nmtransfer.com,General Freight,,,11,26,37,52,239,291,,482,482,,,424
214,222,L&B Transport LLC,Baton Rouge,LA,281216,Louie Vielee,Owner,www.landbtransport.com,Tank/Bulk Commodities,"L & B Transport/Trans Matic, Inc.","87,000,000",0,0,0,360,0,360,"1,034",0,"1,034",0,360,360
215,224,Long Haul Trucking,Albertville,MN,282451,Jason Michels,CEO,www.longhaultrucking.com,Flatbed/Specialized/Heavy Haul,Long Haul Trucking,"108,789,769",0,0,0,175,146,321,0,199,199,129,172,301
216,212,Raider Express,Fort Worth,TX,817781,"Mike Eggleton, Jr.",Vice President,www.raiderexpress.com,Refrigerated,,,0,0,0,2,345,347,,750,750,,,350
217,217,"Sharkey Transportation, Inc.",Quincy,IL,55815,Jack Sharkey,Founder,www.shke.com,General Freight,,,0,0,0,365,0,365,,"1,660","1,660",,,302
218,214,"Raven Transport Co., Inc.",Jacksonville,FL,2539656,Stephen Silverman,COO,www.raventransport.com,General Freight,,,0,0,0,322,18,340,,"1,719","1,719",,,352
219,213,McLeod Express,Decatur,IL,992986,Colt McLeod,President,www.mcleodexpress.com,General Freight,,"100,355,000",0,0,0,0,305,305,0,"1,050","1,050",325,5,330
220,220,Andrus Transportation Services,Saint George,UT,167651,James R Andrus,President,www.andrustrans.com,General Freight,,,0,0,0,0,323,323,,"1,016","1,016",,,362
221,226,"Salem Carriers, Inc.",Winston Salem,NC,229354,Thomas Teague,President,www.salemcarriers.com,Dedicated Contract Carriage,"Salem Carriers, Inc.","68,000,000",31,0,31,320,0,320,"1,330",0,"1,330",374,0,374
222,229,Don Hummer Trucking Corp.,Cedar Rapids,IA,307512,Chris Hummer,President,www.donhummertrucking.com,General Freight,,"86,500,000",0,0,0,40,275,315,0,775,775,275,42,317
223,207,"Coastal Transport Co., Inc.",San Antonio,TX,36647,Joe A. Morgan,President/COO,www.coastaltransport.net,Tank/Bulk Commodities,"Coastal Transport Co., Inc.",,0,0,0,0,300,300,,4,4,,,360
224,230,"Risinger Bros. Transfer, Inc.",Morton,IL,244981,Stan Risinger,President,www.risingertrans.com,General Freight,,,0,0,0,26,308,334,,903,903,,,289
225,228,"Poly Trucking, Inc.",Grand Prairie,TX,160955,Steven G. Ross,President,www.poly-trucking.com,General Freight,,,0,18,18,0,321,321,,942,942,,,267
226,269,Osterkamp Trucking,Pomona,CA,56427,Hank Osterkamp,CEO,www.osterkampgrp.com,General Freight,Osterkamp Trucking/Dedicated Fleet Systems/Frontier Transportation,,0,0,0,0,312,312,,"2,000","2,000",,,312
227,231,Whiteline Express LTD,Plymouth,MI,186721,William Young,President,www.whiteline-express.com,General Freight,,,0,0,0,0,312,312,,"1,245","1,245",,,306
228,232,Spirit Truck Lines,San Juan,TX,437028,Joe David Garza,COO,www.spirittrucklines.com,General Freight,,,0,0,0,307,0,307,,"1,227","1,227",,,307
229,218,"D.M. Bowman, Inc.",Williamsport,MD,135530,Samantha Bodnar,Executive Officer,www.dmbowman.com,General Freight,"D.M. Bowman, Inc.","88,632,959",0,0,0,0,301,301,0,"1,499","1,499",254,0,254
230,235,"Butler Transport, Inc.",Kansas City,KS,324877,George Butler,President,www.butlertransport.com,Refrigerated,,"80,000,000",0,0,0,0,300,300,0,600,600,300,0,300
231,234,"Southwestern Motor Transport, Inc.",San Antonio,TX,136555,Rick Eller,President,www.smtl.com,General Freight,,,13,32,45,72,197,269,,775,775,,,301
232,246,"Action Enterprise Holdings, LLC",Birmingham,AL,680185,Staci Pierce,CEO,www.actn.com,Tank/Bulk commodities,,,0,0,0,0,246,246,,300,300,,,379
233,236,American Central Transport,Kansas City,MO,76198,Phil Wilt,President,www.americancentral.com,General Freight,"American Central Transport, Inc.","73,801,727",0,0,0,13,287,300,0,935,935,283,13,296
234,241,"Indiana Western Express, Inc.",Springfield,MO,397707,Steven Coulter,President,www.iwxmf.com,Refrigerated,,,0,0,0,0,274,274,,321,321,,,302
235,244,"Tidewater Transit Co., Inc.",La Grange,NC,90882,Frank Famularo,President,www.tidewater-transit.com,Tank/Bulk Commodities,,,0,0,0,0,290,290,,300,300,,,270
236,243,Midland Transport,Dieppe,NB,180155,Ryan Jenner,Vice President,www.midlandtransport.com,General Freight,,,0,0,0,168,96,264,,"1,403","1,403",,,317
237,242,"CDN Logistics, Inc.",Northlake,IL,781203,Bob Heinz,President,www.gocdn.com,General Freight,,,18,12,30,50,220,270,,700,700,,,260
238,245,Kriska Holdings LTD,Prescott,ON,297060,Mark Seymour,President,www.kriska.com,General Freight,,,0,0,0,243,30,273,,865,865,,,292
239,233,Kivi Bros Trucking,Duluth,MN,593718,Derek Kivi,CEO,wwwkivibros.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,2,283,285,,576,576,,,290
240,238,"Andy Transport, Inc.",Saint-Laurent,QC,1547667,Andreea Crisan,President & CEO,www.andytransport.com,General Freight,Tristan Cartage/Andy Warehousing & Distribution,"66,767,921",0,0,0,0,286,286,0,665,665,265,0,265
241,248,B-H Transfer Co.,Sandersville,GA,92690,Frank L. Young,President,www.b-htransfer.com,Tank/Bulk Commodities,,,0,3,3,143,124,267,,860,860,,,267
242,240,Doug Andrus Distributing,Idaho Falls,ID,234,Clay Murdoch,CEO,www.dougandrus.com,Refrigerated,,"78,181,565",0,1,1,257,0,257,490,0,490,221,9,230
243,239,Modern Transportation Services,Pittsburgh,PA,290790,Patrick Cozzens,President,www.moderntrans.com,Tank/Bulk Commodities,,,0,0,0,222,1,223,,489,489,,,332
244,247,Kreilkamp Trucking,Allenton,WI,100139,John Kreilkamp,Chairman,www.kreilkamp.com,Refrigerated,,,10,0,10,258,0,258,,905,905,,,251
245,270,Tiger Lines,Lodi,CA,80289,Don Altnow,President,www.tigerlines.com,Tank/Bulk Commodities,,,0,0,0,283,0,283,,"1,446","1,446",,,175
